Designator,Mid X,Mid Y,Rotation,Layer
AM0,152.47,-128.34375,270,top
AM1,218.97,-128.34375,270,top
AM2,286.87,-128.34375,270,top
AM3,382.02,-128.34375,270,top
AM4,207.02,-193.29375,270,top
AM5,398.675,-172.425,270,top
AM6,486.02,-146.59375,270,top
C1,506.56,-104.975,0,top
C2,506.55,-106.295,0,top
D1,508,-108.245,180,top
F1,510.15,-104.7675,90,top
FB1,507.41,-103.305,0,top
FID1,123.325,-79.7,0,top
FID2,99.475,-174.925,0,top
FID3,513.625,-133.4,0,top
J1,445.475,-78.1,0,top
LDO1,501.15,-105.7875,0,top
R1,451.5,-77.365,90,top
R2,451.5,-79.475,270,top
U10,180.895,-89.625,180,top
U100,476.17,-175.35,180,top
U101,495.22,-175.35,180,top
U102,457.12,-156.3,180,top
U103,476.17,-156.3,180,top
U104,495.22,-156.3,180,top
U105,457.12,-137.25,180,top
U11,161.845,-118.2,180,top
U12,138.0325,-156.3,180,top
U13,171.37,-137.25,180,top
U14,111.83875,-156.3,180,top
U15,152.32,-137.25,180,top
U16,157.0825,-156.3,180,top
U17,476.17,-137.25,180,top
U18,209.47,-137.25,180,top
U19,190.42,-137.25,180,top
U2,133.27,-137.25,180,top
U20,180.895,-118.2,180,top
U21,199.945,-89.625,180,top
U22,218.995,-118.2,180,top
U23,199.945,-118.2,180,top
U24,195.1825,-156.3,180,top
U25,214.2325,-156.3,180,top
U26,228.52,-137.25,180,top
U27,247.57,-137.25,180,top
U28,228.52,-89.625,180,top
U29,247.57,-89.625,180,top
U3,109.4575,-137.25,180,top
U30,266.62,-89.625,180,top
U31,252.3325,-156.3,180,top
U32,233.2825,-156.3,180,top
U33,495.3075,-137.21875,180,top
U34,257.095,-118.2,180,top
U35,276.145,-118.2,180,top
U36,285.67,-89.625,180,top
U37,266.62,-137.25,180,top
U38,271.3825,-156.3,180,top
U39,285.67,-137.25,180,top
U4,104.695,-118.2,180,top
U40,295.195,-118.2,180,top
U41,290.4325,-156.3,180,top
U42,309.4825,-156.3,180,top
U43,314.245,-89.625,180,top
U44,314.245,-118.2,180,top
U45,304.72,-137.25,180,top
U46,323.77,-137.25,180,top
U47,327.595,-156.3,180,top
U48,333.295,-118.2,180,top
U49,514.27,-146.775,180,top
U5,123.745,-118.2,180,top
U50,333.295,-89.625,180,top
U51,352.345,-89.625,180,top
U52,371.395,-89.625,180,top
U53,361.87,-118.2,180,top
U54,342.82,-137.25,180,top
U55,366.6325,-137.25,180,top
U56,359.48875,-156.3,180,top
U57,395.2075,-89.625,180,top
U58,395.2075,-118.2,180,top
U59,414.2575,-89.625,180,top
U6,142.795,-118.2,180,top
U60,395.2075,-137.25,180,top
U61,414.2575,-118.2,180,top
U62,414.2575,-137.25,180,top
U63,354.72625,-175.35,180,top
U64,319.0075,-175.35,180,top
U65,514.62,-184.96875,180,top
U66,116.60125,-175.35,180,top
U67,147.5575,-175.35,180,top
U68,166.6075,-175.35,180,top
U69,185.6575,-175.35,180,top
U7,104.695,-89.625,180,top
U70,204.7075,-175.35,180,top
U71,107.07625,-194.4,180,top
U72,130.88875,-194.4,180,top
U73,154.70125,-194.4,180,top
U74,226.13875,-194.4,180,top
U75,223.7575,-175.35,180,top
U76,242.8075,-175.35,180,top
U77,261.8575,-175.35,180,top
U78,280.9075,-175.35,180,top
U79,299.9575,-175.35,180,top
U8,142.795,-89.625,180,top
U80,297.57625,-194.4,180,top
U81,176.1325,-156.3,180,top
U82,433.3075,-89.625,180,top
U83,433.3075,-118.2,180,top
U84,433.3075,-137.25,180,top
U85,345.20125,-194.4,180,top
U86,321.38875,-194.4,180,top
U87,414.2575,-175.35,180,top
U88,395.2075,-194.4,180,top
U89,414.2575,-194.4,180,top
U9,161.845,-89.625,180,top
U90,433.3075,-194.4,180,top
U91,457.12,-118.2,180,top
U92,476.17,-118.2,180,top
U93,495.22,-118.2,180,top
U94,514.27,-118.2,180,top
U95,466.645,-194.4,180,top
U96,369.01375,-194.4,180,top
U97,238.045,-118.2,180,top
U98,495.22,-194.4,180,top
U99,457.12,-175.35,180,top
